,Country Name,year,Consumer price index (2010 = 100),GDP per capita (current US$),GDP per capita growth (annual %),"Inflation, consumer prices (annual %)",Lending interest rate (%),"Unemployment, total (% of total labor force) (national estimate)"
0,Japan,1960,18.9725686,475.3190756,,3.574511525,,1.700000048
1,Japan,1961,19.9911037,568.9077427,11.04407304,5.368461785,,1.399999976
2,Japan,1962,21.35758367,639.6407854,7.901714421,6.835440348,,1.299999952
3,Japan,1963,22.79001663,724.6937622,7.379857063,6.706905564,,1.299999952
4,Japan,1964,23.65612602,843.6168785,10.52079209,3.800389453,,1.100000024
5,Japan,1965,25.23067563,928.5188486,4.686450016,6.655990943,,1.200000048
6,Japan,1966,26.50251161,1068.55844,9.632359631,5.040832059,,1.299999952
7,Japan,1967,27.55992156,1239.318377,9.938834499,3.989848089,,1.299999952
8,Japan,1968,29.0314651,1451.337703,11.61742815,5.339432957,,1.200000048
9,Japan,1969,30.55556503,1684.659403,11.14865732,5.249820911,,1.100000024
10,Japan,1970,32.67128546,2056.122046,1.281813787,6.924173835,,1.100000024
11,Japan,1971,34.76072814,2272.077802,2.426652357,6.395348837,,1.200000048
12,Japan,1972,36.44436996,2967.041996,6.905499722,4.843517139,,1.399999976
13,Japan,1973,40.67505968,3974.745605,6.523023597,11.60862355,,1.299999952
14,Japan,1974,50.12072202,4353.824355,-2.5298392,23.22224581,,1.399999976
15,Japan,1975,56.00051732,4674.445481,1.787835642,11.73126615,,1.899999976
16,Japan,1976,61.25002618,5197.622337,2.866778098,9.374036386,,2
17,Japan,1977,66.2491473,6335.286871,3.384680715,8.161826896,,2
18,Japan,1978,69.03794888,8820.691945,4.318280115,4.209566011,,2.200000048
19,Japan,1979,71.59363083,9103.564756,4.594768307,3.701850925,,2.099999905
20,Japan,1980,77.16259995,9463.353855,2.010415857,7.778581766,,2
21,Japan,1981,80.95295257,10360.17827,3.503886294,4.912162918,,2.200000048
22,Japan,1982,83.17190615,9575.607713,2.565815419,2.741040956,,2.400000095
23,Japan,1983,84.75193925,10421.21244,2.911865413,1.899719713,,2.599999905
24,Japan,1984,86.66870071,10978.91981,3.736156479,2.261613692,,2.700000048
25,Japan,1985,88.43004908,11576.69211,4.503630615,2.032277346,,2.599999905
26,Japan,1986,88.95672678,17113.26232,2.745615247,0.595586799,,2.799999952
27,Japan,1987,89.06896957,20748.99092,4.145630588,0.126176842,,2.799999952
28,Japan,1988,89.67335381,25059.00743,6.218728553,0.67855758,,2.5
29,Japan,1989,91.71099212,24822.77557,4.50717016,2.272289621,,2.299999952
30,Japan,1990,94.53432995,25371.46417,4.493661204,3.078516287,,2.099999905
31,Japan,1991,97.60805554,28915.0082,3.117494633,3.251438488,,2.099999905
32,Japan,1992,99.32623361,31414.98464,0.526745036,1.760283061,,2.200000048
33,Japan,1993,100.5609043,35681.96394,-0.781376228,1.243045897,4.863555556,2.5
34,Japan,1994,101.2602632,39933.51506,0.801559685,0.695458058,4.133416667,2.900000095
35,Japan,1995,101.1307523,44197.6191,2.390519558,-0.127899045,3.505833333,3.200000048
36,Japan,1996,101.2688973,39150.03963,2.900141234,0.136600359,2.657583333,3.400000095
37,Japan,1997,103.0388797,35638.23196,0.740905953,1.747804587,2.448833333,3.400000095
38,Japan,1998,103.7209705,32423.75561,-1.538244076,0.661974191,2.320916667,4.099999905
39,Japan,1999,103.366974,36610.16832,-0.51574059,-0.341296928,2.160833333,4.699999809
40,Japan,2000,102.6676151,39169.35957,2.592891087,-0.676578684,2.067166667,4.75
41,Japan,2001,101.9078177,34406.18246,0.14451169,-0.740055504,1.969416667,5.019999981
42,Japan,2002,100.9667051,32820.79364,-0.190392014,-0.923494027,1.864916667,5.389999866
43,Japan,2003,100.7076833,35387.03742,1.318091962,-0.256541816,1.822083333,5.25
44,Japan,2004,100.6990493,38298.98017,2.151723329,-0.008573388,1.766583333,4.730000019
45,Japan,2005,100.4141253,37812.89502,1.794339801,-0.282946069,1.676916667,4.449999809
46,Japan,2006,100.664513,35991.546,1.308127183,0.249355116,1.664833333,4.190000057
47,Japan,2007,100.7249514,35779.02454,1.367422326,0.060039454,1.88325,3.890000105
48,Japan,2008,102.1150352,39876.30397,-1.272109949,1.380078862,1.9095,4.0
49,Japan,2009,100.7335855,41308.99684,-5.68145234,-1.35283673,1.723333333,5.070000172
50,Japan,2010,100.0,44968.15623,4.079223048,-0.728243208,1.598333333,5.099999905
51,Japan,2011,99.72754438,48760.07895,0.209251803,-0.272455616,1.500916667,4.550000191
52,Japan,2012,99.68359993,49145.28043,1.536786659,-0.04406451,1.4075,4.360000134
53,Japan,2013,100.0175778,40898.6479,2.152371066,0.335037912,1.30375,4.039999962
54,Japan,2014,102.7772895,38475.39525,0.429381123,2.759226714,1.219166667,3.589999914
55,Japan,2015,103.5946564,34960.63938,1.668465117,0.795279631,1.142833333,3.390000105
56,Japan,2016,103.462823,39375.47316,0.805362825,-0.127258844,1.04475,3.130000114
57,Japan,2017,103.9637898,38834.05293,1.758611802,0.484199796,0.994,2.819999933
58,Japan,2018,104.99209,39727.1166,0.711770198,0.989094598,,2.470000029
59,Japan,2019,105.4842679,40458.00188,-0.100125011,0.468776159,,2.349999905
60,Japan,2020,105.4579012,39918.16756,-4.225555341,-0.024995834,,2.799999952
61,Japan,2021,105.2118123,39285.16311,2.089279405,-0.233352779,,2.799999952
