,Country Name,year,Consumer price index (2010 = 100),GDP per capita (current US$),GDP per capita growth (annual %),"Inflation, consumer prices (annual %)",Lending interest rate (%),"Unemployment, total (% of total labor force) (national estimate)"
62,United States,1960,13.56306078,3007.123445,..,1.457975986,4.820833333,5.5
63,United States,1961,13.70828375,3066.562869,0.618121193,1.070724148,4.5,6.699999809
64,United States,1962,13.872615,3243.843078,4.480669354,1.198773348,4.5,5.5
65,United States,1963,14.04458957,3374.515171,2.908271948,1.239669421,4.5,5.699999809
66,United States,1964,14.22420745,3573.941185,4.340548963,1.278911565,4.5,5.199999809
67,United States,1965,14.44968521,3827.52711,5.07809761,1.585169264,4.535,4.5
68,United States,1966,14.88535411,4146.316646,5.277113858,3.015075377,5.625,3.799999952
69,United States,1967,15.29809307,4336.426587,1.389951286,2.772785623,5.633333333,3.799999952
70,United States,1968,15.95159642,4695.92339,3.758819368,4.271796153,6.3125,3.599999905
71,United States,1969,16.82293422,5032.144743,2.097369706,5.4623862,7.951666667,3.5
72,United States,1970,17.80510008,5234.296666,-1.438450533,5.838255338,7.91,4.900000095
73,United States,1971,18.56943148,5609.3826,1.995600235,4.292766688,5.723333333,5.900000095
74,United States,1972,19.17707495,6094.01799,4.138096775,3.272278247,5.248333333,5.599999905
75,United States,1973,20.36178863,6726.358956,4.642155744,6.177760064,8.021666667,4.900000095
76,United States,1974,22.61274461,7225.69136,-1.445134344,11.0548048,10.79833333,5.599999905
77,United States,1975,24.68026107,7801.456664,-1.184581412,9.143146865,7.8625,8.5
78,United States,1976,26.09809582,8592.253537,4.391462867,5.744812635,6.84,7.699999809
79,United States,1977,27.79491154,9452.576519,3.577146706,6.501683995,6.824166667,7.099999905
80,United States,1978,29.91593119,10564.94822,4.422984607,7.630963839,9.056666667,6.099999905
81,United States,1979,33.28281103,11674.18187,2.033887065,11.25447113,12.66583333,5.800000191
82,United States,1980,37.79236632,12574.79151,-1.209298263,13.54920197,15.26583333,7.099999905
83,United States,1981,41.6980998,13976.10539,1.536320281,10.33471534,18.87,7.599999905
84,United States,1982,44.25478835,14433.78773,-2.734569731,6.131427,14.86083333,9.699999809
85,United States,1983,45.67644476,15543.89372,3.631979296,3.212435233,10.79416667,9.600000381
86,United States,1984,47.64077647,17121.22548,6.312167656,4.300535475,12.0425,7.5
87,United States,1985,49.32994887,18236.82773,3.250656423,3.545644152,9.933333333,7.199999809
88,United States,1986,50.26625484,19071.22719,2.510885967,1.898047722,8.3325,7
89,United States,1987,52.10829353,20038.9411,2.538623537,3.664563218,8.203333333,6.199999809
90,United States,1988,54.23313484,21417.01193,3.235416109,4.077741107,9.315,5.5
91,United States,1989,56.8509699,22857.15443,2.698166672,4.82700303,10.87333333,5.300000191
92,United States,1990,59.91976049,23888.60001,0.7414861,5.39795644,10.00916667,5.599999905
93,United States,1991,62.45734075,24342.2589,-1.434200125,4.234963965,8.463333333,6.800000191
94,United States,1992,64.34906098,25418.99078,2.096612766,3.028819678,6.251666667,7.5
95,United States,1993,66.24842452,26387.29373,1.405708565,2.951656966,6.0,6.900000095
96,United States,1994,67.9758135,27694.85342,2.760882297,2.607441592,7.138333333,6.119999886
97,United States,1995,69.88282035,28690.8757,1.468718234,2.805419689,8.829166667,5.650000095
98,United States,1996,71.93122852,29967.71272,2.572259204,2.9312042,8.270833333,5.449999809
99,United States,1997,73.61275761,31459.13898,3.197212055,2.337689937,8.441666667,5.0
100,United States,1998,74.75543306,32853.67695,3.270511073,1.552279099,8.354166667,4.510000229
101,United States,1999,76.39110227,34515.39023,3.597985018,2.188027197,7.994166667,4.21999979
102,United States,2000,78.97072076,36329.95607,2.925440983,3.376857271,9.233333333,3.99000001
103,United States,2001,81.20256846,37133.62311,-0.039919729,2.826171119,6.921666667,4.730000019
104,United States,2002,82.49046688,37997.75966,0.756774051,1.586031627,4.675,5.78000021
105,United States,2003,84.36307882,39490.27496,1.916480451,2.270094973,4.1225,5.989999771
106,United States,2004,86.62167812,41724.63163,2.895847779,2.677236693,4.34,5.53000021
107,United States,2005,89.56053237,44123.40707,2.533784114,3.392746845,6.189166667,5.079999924
108,United States,2006,92.44970508,46302.00088,1.796486326,3.225944101,7.9575,4.619999886
109,United States,2007,95.08699238,48050.22378,1.044930137,2.852672482,8.05,4.619999886
110,United States,2008,98.73747739,48570.04598,-0.820367899,3.839100297,5.0875,5.78000021
111,United States,2009,98.38641997,47194.94335,-3.450015923,-0.355546266,3.25,9.25
112,United States,2010,100.0,48650.64313,1.860291678,1.640043442,3.25,9.630000114
113,United States,2011,103.1568416,50065.9665,0.814519358,3.156841569,3.25,8.949999809
114,United States,2012,105.2915045,51784.41857,1.533102035,2.069337265,3.25,8.069999695
115,United States,2013,106.8338489,53291.12769,1.138692347,1.464832656,3.25,7.369999886
116,United States,2014,108.5669321,55123.84979,1.540380649,1.622222977,3.25,6.170000076
117,United States,2015,108.695722,56762.72945,1.953004118,0.118627136,3.26,5.28000021
118,United States,2016,110.0670089,57866.74493,0.933375362,1.261583206,3.511666667,4.869999886
119,United States,2017,112.4115573,59914.7778,1.610808083,2.130110004,4.096666667,4.360000134
120,United States,2018,115.1573032,62805.25376,2.378479223,2.442583297,4.904166667,3.900000095
121,United States,2019,117.2441955,65094.79943,1.824124482,1.812210075,5.2825,3.670000076
122,United States,2020,118.6905016,63027.67953,-4.328617754,1.233584396,3.544166667,8.050000191
123,United States,2021,124.2664138,69287.53659,5.546087223,4.697858864,3.25,5.349999905
